sample	sampling.time.in.hrs	biological.replicate	treatment	type.of.stress
1hr_S1_Con	1	1	control	biotic
1hr_S2_Con	1	2	control	biotic
1hr_S1_FD	1	1	chytrid	biotic
1hr_S2_FD	1	2	chytrid	biotic
1hr_S1_Rot	1	1	rotifer	biotic
1hr_S2_Rot	1	2	rotifer	biotic
3hr_S1_Con	3	1	control	biotic
3hr_S2_Con	3	2	control	biotic
3hr_S1_FD	3	1	chytrid	biotic
3hr_S2_FD	3	2	chytrid	biotic
3hr_S1_Rot	3	1	rotifer	biotic
3hr_S2_Rot	3	2	rotifer	biotic
9hr_S1_Con	9	1	control	biotic
9hr_S2_Con	9	2	control	biotic
9hr_S1_FD	9	1	chytrid	biotic
9hr_S2_FD	9	2	chytrid	biotic
9hr_S1_Rot	9	1	rotifer	biotic
9hr_S2_Rot	9	2	rotifer	biotic
24hr_S1_Con	24	1	control	biotic
24hr_S2_Con	24	2	control	biotic
24hr_S1_FD	24	1	chytrid	biotic
24hr_S2_FD	24	2	chytrid	biotic
24hr_S1_Rot	24	1	rotifer	biotic
24hr_S2_Rot	24	2	rotifer	biotic
72hr_S1_Con	72	1	control	biotic
72hr_S2_Con	72	2	control	biotic
72hr_S1_FD	72	1	chytrid	biotic
72hr_S2_FD	72	2	chytrid	biotic
72hr_S1_Rot	72	1	rotifer	biotic
72hr_S2_Rot	72	2	rotifer	biotic
0hr_RT_P1	0	1	ambient	abiotic
0hr_RT_P2	0	2	ambient	abiotic
1hr_C_P1	1	1	cold	abiotic
1hr_C_P2	1	2	cold	abiotic
1hr_H_P1	1	1	hot	abiotic
1hr_H_P2	1	2	hot	abiotic
1hr_RT_P1	1	1	ambient	abiotic
1hr_RT_P2	1	2	ambient	abiotic
3hr_C_P1	3	1	cold	abiotic
3hr_C_P2	3	2	cold	abiotic
3hr_H_P1	3	1	hot	abiotic
3hr_H_P2	3	2	hot	abiotic
3hr_RT_P1	3	1	ambient	abiotic
3hr_RT_P2	3	2	ambient	abiotic
9hr_C_P1	9	1	cold	abiotic
9hr_C_P2	9	2	cold	abiotic
9hr_H_P1	9	1	hot	abiotic
9hr_H_P2	9	2	hot	abiotic
9hr_RT_P1	9	1	ambient	abiotic
9hr_RT_P2	9	2	ambient	abiotic
24hr_C_P1	24	1	cold	abiotic
24hr_C_P2	24	2	cold	abiotic
24hr_H_P1	24	1	hot	abiotic
24hr_H_P2	24	2	hot	abiotic
24hr_RT_P1	24	1	ambient	abiotic
24hr_RT_P2	24	2	ambient	abiotic
72hr_C_P1	72	1	cold	abiotic
72hr_C_P2	72	2	cold	abiotic
72hr_H_P1	72	1	hot	abiotic
72hr_H_P2	72	2	hot	abiotic
72hr_RT_P1	72	1	ambient	abiotic
72hr_RT_P2	72	2	ambient	abiotic
